businessID,category
WfqMC8dGFCZPTQ-K0YuPBA,chinese
rN347NNwQ0hDSlbedzI9BQ,chinese
Y2iXjyK72jeGy2m3HQncsg,chinese
ku3TyaUBEkuQtQXKq80Zlg,chinese
2v7HpoqI2pSS9GpHu-gI2g,chinese
JyYt8w1RpjDbITsE40eLfA,chinese
C6NvtFvXo86_kEWi3qBYWQ,chinese
cZ2Nkl7Z_sCvanOoruvxHQ,chinese
HmK289OYwb10bDDZM5QxKg,chinese
mQ5uHsh3ssahNcxrdiSQCw,chinese
ZyxYjbxS1PnM8AOOdilUSA,chinese
QWskQ2QpR8bmza2FRFziOQ,chinese
jojBi9v-MViTDkyJyi8zpg,chinese
cGSLzPA_SCWrN3cyT86Nhw,chinese
ynVdTXNvG0_hNAmrTFQ4cQ,chinese
dP6SmZ5E5Nj64-3zZMjGSg,chinese
l5ayMkjXp-B-WxvYkQBo4A,chinese
cCHkQ5oISNafWnLoBpsagg,chinese
UFeM5FPHjl1y8RQ4tvBSog,chinese
3fQ9IExhN9KMqGHVm_9AEQ,chinese
dVAI5zh29psdbHp9wGXwVQ,chinese
BkXb82Y2OIsQ5RpNNQOYmQ,chinese
AJKcsxpc9IthvhdEnfqogg,chinese
gqrHC135WZLl43jCbE824Q,chinese
IQ91FltwJmIPhS6fKKf2pw,chinese
jfOMJ8y3llPbVJosDybLMw,chinese
5KDfEi17KRFD1TrzZyT4lQ,chinese
HHkTmzDBE9sGWvtSW9Ne8A,chinese
wxUTM-FkpCvnoTGJfSXkWg,chinese
mA7_wkXy3fDuQ00iV6GYqQ,chinese
54_wHr9PpvpZDeEeIVtXCA,chinese
z4ELLrOZptbc6wdkDBOCRA,chinese
keZkNTROSC-wFJsXHJdMAA,chinese
GCcJqfBm3Fq-ccYwit6xcw,chinese
jO6NX93q_fYwYTHkqJ57Dg,chinese
KjZyJimEPL97dt9R5lm9dQ,chinese
aPwricrGCiBXy6DGEJS7mA,chinese
PGBHteqfNcTqesQFKqqdsg,chinese
G2xZIm37iyKuzpWORDPT5g,chinese
IsL7iowOZXZ5i8G5RgQgRA,chinese
YIwYw_A_LRwK66HBTzogYQ,chinese
pMD9ZQcyKfD6N2zb0kiR2A,chinese
7Fv8r-NFhIqlzrFwoAuWqg,chinese
1-oCMIHLTRyK1wOD9k2cVw,chinese
R2OiJx2vW67hLbNu4w2TqQ,chinese
1HjbS4hWLeHEwpC4EuWKYw,chinese
yEHZiUgIihoSg6quQHcgmA,chinese
Yo6D3B8TP_xdN1yaoNc0Ww,chinese
XoxEVVf5Ci8nibQ-Q4P0nQ,chinese
QBhHq4eN7rtFzmDUciVL-Q,chinese
Ex_qolTE5syJ8so0NscfGw,chinese
jhFqmhHRDf7TZcITsKntJA,chinese
_5E5cZP0PzkwfdEqTebBUg,chinese
B80HEWGEmCP36wKHof3hLA,chinese
b7N-XLl07dcaN-_1323vWg,chinese
u6Yrkowq8k5zBpClvjX2FA,chinese
P6O2I3PbON26-P9Jhb7Q1A,chinese
IomT6Z1_o0Jtjsdqkrl7Cw,chinese
YcohJWSi552DZto2uTYSuw,chinese
uy-rlHFzdiGT7lrGqSYJbA,chinese
4eHXgSA7VJgiz6lhAMfL7A,chinese
JhAdf98S2O0wGTzjoQK_pA,chinese
2rjcqpDzCIHh1cyNFSh-4w,chinese
1THlGdn06KHrP5meWQ_1zg,chinese
zLKnugqoFX0BRQKJJsdnbg,chinese
UJvfuIR95-LfVQ0TpvfPPg,chinese
yzAJOjAV7BnLZpbISHZfWg,chinese
YCen62jqSWhPOAorQjSZdQ,chinese
Dh2I2jRTXE7oDCfuA9vCoQ,chinese
z9uTP0OgfJ3iSjlu77uZ9A,chinese
dOxBYyxlZ2paUXE9vGis3Q,chinese
LU4mHDTgFxOuvuK1SFbJag,chinese
Ypz7j5vm0kZ2XqpjGjbHNw,chinese
njqbo43rFzj934E5eHbPCw,chinese
Sl1GUrimUxnuHzqflhvuoQ,chinese
xTNRPg456MAC6Zja0bve9Q,chinese
KUEwlsurqKAl6JcAxzVAvA,chinese
N05331bMRnUwz48pRRvD7g,chinese
2YYXbDTL9G6LyuNvZGCvyQ,chinese
DXMfEyJCCAUFgtVZpSkwVA,chinese
xzPEPEmH9AOuLebnuUlqjA,chinese
huguW14qFJAMfVNhH_VxqQ,chinese
4OGtGzKP6fvRu7MfQMRSEQ,chinese
BzeKhg79UpG_qVwB-TGk2Q,chinese
MJ2jcGifWBAfCIlHPuoDsg,chinese
wZfu0TTKtNq93xuUKBUO0w,chinese
WksAfMC0fATGCxfPvFNU2Q,chinese
ipQHf7XmZwXFr_aWHrjIrw,chinese
HdOlH7fR1Lx6IZAisL6C_w,chinese
00J0yKkOuOxMhqt-Dg9daw,chinese
ba__s4k4qx2bd60_RwoRrg,chinese
_CcEaSKTpzZIczrRzCRAPQ,chinese
tfMPbnQqJ1P1RIab-o6gtg,chinese
_3umpHBjwyLSFFD6lKxsDg,chinese
9yTwuznxkJo9JZl7KBZ0zw,chinese
ubeG-hyIV8qoSSAk_pAZ2A,chinese
eUQGGg-3QPw9pembeEzS3A,chinese
gNlPrIFgZHqO4dUdhbfekw,chinese
IregrqaJgF9jEghC5yljFw,chinese
inA7o0esW4cBTdR6wZ-I9A,chinese
U0EJ4URMoFHJEzAkMp4WWQ,chinese
NjdyHMwUzu47UkjkI6XOlw,chinese
PHQBc5XgD1YTOgSLa3A-qg,chinese
J4x8WRUAoG7HKiGMjFGPvQ,chinese
aNuday09TjdGiTixOPm2NA,chinese
h4co9O0SLuvhTtr_Cs9IIQ,chinese
7qvHljqtI4UZEXwpPp3Yug,chinese
0CXOlOPhQSSg3lSs27GOTA,chinese
4s_PhObBStJL6EYVtIAsrQ,chinese
SG13JvbIW-IpO3hgrTv5_Q,chinese
IZaIOOUNnZV2kgabfpwfFA,chinese
_iLjlrftSGKvFyG6PXQyAg,chinese
F2KRHRtnIAZJezs9UC2u6w,chinese
BKCOHFbh4SQJ6B8htf9lUw,chinese
GrxbGiLMkl1jd665k1lbIQ,chinese
PBh9J_5HF8dtg2MTTUqVnw,chinese
xNge6PZM4ACi74NSDeQcxw,chinese
1GQhMgBa098ptUEBIuR-pQ,chinese
_Ffho72l_Dr9sJFiHdNmgA,chinese
v5CsUc6pr7foHWsoQ0Y36Q,chinese
CKG7LVmSlvI93scyb1aVeg,chinese
jWEjgaj2SraChhtx3_deDA,chinese
cZ42z2_urryidlWp1pjT0w,chinese
3DmJv5rHFNyQykaUiXBOvA,chinese
AbfZkSRMtiHE3naWrN-0Eg,chinese
e-6UcplEErq2Hj14-eiM6Q,chinese
h3yz3w8ke1jIaGnqGln93A,chinese
j61hBldPvd47MdLgeySlxQ,chinese
q1oqr0FIXm0uF5_fT25LtQ,chinese
SrWl6tooHP0QfqnAOPbxWw,chinese
-P9Wu5pDLTpmV3QBxTSgYg,chinese
O_uR0KLlCtQfPQ83QAF3lg,chinese
_MdNLeBAcwv5Nb2yArZFvg,chinese
OX2B4KARPKNTxC39wpcqDA,chinese
0kKYP-_ScvaHi0LUqg-iBA,chinese
gQ6DNeLNWQV-zwWyuFeBpg,chinese
56wxE888GknVcUeAXBfqFw,chinese
LNqxKIHExmOBk8_83BM6KQ,chinese
FG5WMzTMu39xwzxmxuYBXw,chinese
